City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Dingle,PH,2022-04-23 18:06:32,10.9995,122.6711,76.82,87,52,6.11
123,Thompson,CA,2022-04-23 18:04:27,55.7435,-97.8558,43.99,63,90,8.05
124,Atambua,ID,2022-04-23 18:08:31,-9.1061,124.8925,72.16,85,7,3.8
125,High Level,CA,2022-04-23 18:06:08,58.5169,-117.136,40.3,84,54,6.6
126,Komsomolskiy,UZ,2022-04-23 18:08:32,40.4272,71.7189,68.72,45,56,6.91
127,Lander,US,2022-04-23 18:08:32,42.833,-108.7307,37.98,90,100,6.91
128,Yumen,CN,2022-04-23 18:08:33,40.2833,97.2,55.15,21,49,0.76
129,Mitu,CO,2022-04-23 18:08:33,1.1983,-70.1733,92.25,45,88,3.65
130,Salalah,OM,2022-04-23 18:05:00,17.0151,54.0924,84.29,79,20,5.75
131,Sao Felix Do Xingu,BR,2022-04-23 18:08:34,-6.6447,-51.995,89.29,54,100,3.4
132,Huangnihe,CN,2022-04-23 18:08:34,43.5583,128.0239,48.65,61,29,12.28
133,Makinsk,KZ,2022-04-23 18:06:33,52.6292,70.4169,28.96,43,1,10.96
134,Vernon,CA,2022-04-23 18:06:53,50.2581,-119.2691,59.61,52,99,0.11
135,Kaitangata,NZ,2022-04-23 18:09:35,-46.2817,169.8464,51.08,91,100,10.02
136,Tieling,CN,2022-04-23 18:09:36,42.2931,123.8414,56.82,42,77,0.81
137,Catuday,PH,2022-04-23 18:09:36,16.2923,119.8062,81.0,77,7,7.74
138,Bellinzona,CH,2022-04-23 18:09:36,46.1928,9.017,54.64,100,75,1.14
139,Coahuayana,MX,2022-04-23 18:09:37,18.7333,-103.6833,90.34,33,3,7.38
140,Hamilton,US,2022-04-23 18:05:06,39.1834,-84.5333,83.5,44,0,16.11
141,Yellowknife,CA,2022-04-23 18:07:35,62.456,-114.3525,19.56,62,93,5.99
142,Lopukhiv,UA,2022-04-23 18:09:38,48.3653,23.9638,44.53,99,99,1.66
143,Gaoual,GN,2022-04-23 18:09:38,11.75,-13.2,105.35,12,72,8.52
144,Constitucion,CL,2022-04-23 18:09:39,-35.3333,-72.4167,59.41,79,100,5.79
145,Zandvoort,NL,2022-04-23 18:09:39,52.3749,4.5341,62.94,45,0,16.11
146,Itarema,BR,2022-04-23 18:06:38,-2.9248,-39.9167,74.5,96,97,8.12
147,Coruripe,BR,2022-04-23 18:08:06,-10.1256,-36.1756,84.56,64,83,10.13
148,Aromashevo,RU,2022-04-23 18:09:40,56.8602,68.6375,28.67,57,15,0.29
149,Marzuq,YE,2022-04-23 18:09:40,14.4,46.4667,72.05,60,40,7.2
150,Cherskiy,RU,2022-04-23 18:09:41,68.75,161.3,11.37,97,98,2.35
151,Lorengau,PG,2022-04-23 18:09:41,-2.0226,147.2712,80.44,82,90,7.76
152,Provideniya,RU,2022-04-23 18:05:31,64.3833,-173.3,25.14,68,15,3.22
153,Bambanglipuro,ID,2022-04-23 18:09:42,-7.95,110.2833,78.01,89,98,2.15
154,Bay Roberts,CA,2022-04-23 18:09:42,47.5999,-53.2648,41.5,91,100,17.05
155,Narsaq,GL,2022-04-23 18:09:43,60.9167,-46.05,46.62,95,100,5.06
156,Pompeia,BR,2022-04-23 18:09:43,-22.1086,-50.1717,74.43,67,93,7.31
157,Vestmannaeyjar,IS,2022-04-23 18:07:48,63.4427,-20.2734,45.59,81,100,3.44
158,Vitry-Le-Francois,FR,2022-04-23 18:09:44,48.7333,4.5833,61.66,70,100,10.42
159,Shenjiamen,CN,2022-04-23 18:09:45,29.9576,122.298,59.02,99,100,9.17
160,Hithadhoo,MV,2022-04-23 18:09:45,-0.6,73.0833,85.28,71,82,10.51
161,Korgen,NO,2022-04-23 18:09:45,66.0771,13.8153,46.72,91,13,3.91
162,Svetlaya,RU,2022-04-23 18:09:46,46.5389,138.3297,37.49,93,86,1.59
163,Losinyy,RU,2022-04-23 18:09:46,57.1386,61.0666,37.15,71,63,6.29
164,Pisco,PE,2022-04-23 18:07:19,-13.7,-76.2167,64.45,88,75,9.22
165,Kisangani,CD,2022-04-23 18:09:47,0.5167,25.2,75.33,84,92,1.66
166,Jeremie,HT,2022-04-23 18:09:47,18.65,-74.1167,79.32,77,100,4.9
167,Sao Joao Da Barra,BR,2022-04-23 18:09:48,-21.6403,-41.0511,93.29,62,3,9.08
168,Bilma,NE,2022-04-23 18:09:48,18.6853,12.9164,97.56,11,3,9.53
169,La Ronge,CA,2022-04-23 18:09:49,55.1001,-105.2842,41.47,68,71,4.23
170,Tuatapere,NZ,2022-04-23 18:09:49,-46.1333,167.6833,52.11,90,100,11.52
171,Coihaique,CL,2022-04-23 18:09:08,-45.5752,-72.0662,43.41,87,100,5.75
172,Yonago,JP,2022-04-23 18:09:50,35.4333,133.3333,60.06,88,100,3.47
173,Ahipara,NZ,2022-04-23 18:09:50,-35.1667,173.1667,62.76,69,34,14.65
174,Cetraro,IT,2022-04-23 18:09:51,39.5166,15.9416,56.16,83,0,1.54
175,Barra Dos Coqueiros,BR,2022-04-23 18:09:51,-10.9089,-37.0386,86.02,70,40,10.36
176,Guaymas,MX,2022-04-23 18:09:52,27.9333,-110.9,79.88,50,0,12.66
177,Dzaoudzi,YT,2022-04-23 18:09:52,-12.7887,45.2699,84.09,79,40,12.66
178,Casa Nova,BR,2022-04-23 18:09:52,-9.4167,-41.1333,92.05,38,81,8.5
179,Ponta Do Sol,PT,2022-04-23 18:09:53,32.6667,-17.1,67.12,56,99,8.75
180,Carnarvon,AU,2022-04-23 18:06:09,-24.8667,113.6333,64.47,94,0,4.61
181,Lingsugur,IN,2022-04-23 18:09:11,16.1667,76.5167,90.57,26,16,7.14
182,Georgetown,MY,2022-04-23 18:10:54,5.4112,100.3354,84.13,79,20,2.3
183,Ambulu,ID,2022-04-23 18:10:54,-8.345,113.6058,76.46,91,100,3.04
184,Hoa Binh,VN,2022-04-23 18:10:54,20.8133,105.3383,75.42,95,24,2.75
185,Nabire,ID,2022-04-23 18:06:18,-3.3667,135.4833,75.42,90,98,2.84
186,Carutapera,BR,2022-04-23 18:10:55,-1.195,-46.02,77.58,93,94,1.99
187,Ugoofaaru,MV,2022-04-23 18:10:56,5.6667,73.0,84.74,74,97,9.06
188,Bridlington,GB,2022-04-23 18:10:56,54.0831,-0.1919,51.89,89,1,22.53
189,Perth,AU,2022-04-23 18:09:43,-31.9333,115.8333,64.58,57,0,18.41
190,Haines Junction,CA,2022-04-23 18:07:03,60.7522,-137.5108,37.29,73,68,1.34
191,Sidrolandia,BR,2022-04-23 18:10:57,-20.9319,-54.9614,83.07,54,39,10.29
192,Changji,CN,2022-04-23 18:10:57,44.0167,87.3167,66.99,27,0,8.95
